K,alpha_word,alpha_ent,mean,ci,variance,paper_result,t_stat,p_value
20,0.2,0.3,52.5647,"(nan, nan)",0.0,50.2,inf,0.0
20,0.2,0.4,57.22800000000001,"(57.22800000000001, 57.22800000000001)",5.314431361488921e-29,53.1,2532364899865934.5,5.470301679928776e-282
20,0.3,0.3,52.5647,"(nan, nan)",0.0,48.5,inf,0.0
20,0.3,0.4,57.22800000000001,"(57.22800000000001, 57.22800000000001)",5.314431361488921e-29,53.3,2409672802004215.5,1.405423652969419e-281
20,0.4,0.3,53.2694,"(nan, nan)",0.0,53.2,inf,0.0
20,0.4,0.4,57.22800000000001,"(57.22800000000001, 57.22800000000001)",5.314431361488921e-29,56.4,507945285147532.8,9.873905413695028e-269
20,0.5,0.3,54.643299999999996,"(54.643299999999996, 54.643299999999996)",5.314431361488921e-29,52.5,1314829866735135.2,1.4011642444654438e-276
20,0.5,0.4,57.22800000000001,"(57.22800000000001, 57.22800000000001)",5.314431361488921e-29,56.3,569291334078394.4,1.131498059197778e-269
50,0.2,0.3,47.6649,"(nan, nan)",0.0,48.9,-inf,0.0
50,0.2,0.4,57.22800000000001,"(57.22800000000001, 57.22800000000001)",5.314431361488921e-29,49.2,4924860808169501.0,1.7763373560554457e-287
50,0.3,0.3,48.4593,"(nan, nan)",0.0,52.1,-inf,0.0
50,0.3,0.4,57.22800000000001,"(57.22800000000001, 57.22800000000001)",5.314431361488921e-29,50.9,3881977976344871.5,1.6330610560636983e-285
50,0.4,0.3,45.1499,"(nan, nan)",0.0,51.5,-inf,0.0
50,0.4,0.4,57.22800000000001,"(57.22800000000001, 57.22800000000001)",5.314431361488921e-29,52.6,2839095144520238.0,6.231487184655158e-283
50,0.5,0.3,46.248799999999996,"(46.248799999999996, 46.248799999999996)",5.314431361488921e-29,56.3,-6166014070138672.0,2.482704216819096e-289
50,0.5,0.4,57.22800000000001,"(57.22800000000001, 57.22800000000001)",5.314431361488921e-29,60.6,-2068588769948618.5,2.553886594170302e-280
100,0.2,0.3,41.9402,"(nan, nan)",0.0,51.4,-inf,0.0
100,0.2,0.4,57.22800000000001,"(57.22800000000001, 57.22800000000001)",5.314431361488921e-29,50.8,3943324025275733.0,1.2123384179402846e-285
100,0.3,0.3,41.9402,"(nan, nan)",0.0,51.5,-inf,0.0
100,0.3,0.4,57.22800000000001,"(57.22800000000001, 57.22800000000001)",5.314431361488921e-29,55.3,1182751823387001.5,1.0472052233336315e-275
100,0.4,0.3,42.27139999999999,"(42.27139999999999, 42.27139999999999)",5.314431361488921e-29,52.2,-6090803814149442.0,3.1346791051046652e-289
100,0.4,0.4,57.22800000000001,"(57.22800000000001, 57.22800000000001)",5.314431361488921e-29,48.1,5599667346408970.0,1.5485611684140255e-288
100,0.5,0.3,47.717099999999995,"(47.717099999999995, 47.717099999999995)",5.314431361488921e-29,50.8,-1891237342489506.0,1.4022842115516207e-279
100,0.5,0.4,57.22800000000001,"(57.22800000000001, 57.22800000000001)",5.314431361488921e-29,54.9,1428136019110443.5,2.9133242104146885e-277
200,0.2,0.3,50.657500000000006,"(50.657500000000006, 50.657500000000006)",5.314431361488921e-29,48.4,1384887054614185.0,5.225621390553634e-277
200,0.2,0.4,57.22800000000001,"(57.22800000000001, 57.22800000000001)",5.314431361488921e-29,50.6,4066016123137452.0,6.773261863222468e-286
200,0.3,0.3,50.434200000000004,"(50.434200000000004, 50.434200000000004)",5.314431361488921e-29,49.8,389056642319522.9,1.565910172508525e-266
200,0.3,0.4,57.22800000000001,"(57.22800000000001, 57.22800000000001)",5.314431361488921e-29,51.6,3452555633828845.0,1.5147385385318033e-284
200,0.4,0.3,51.7744,"(nan, nan)",0.0,50.0,inf,0.0
200,0.4,0.4,57.22800000000001,"(57.22800000000001, 57.22800000000001)",5.314431361488921e-29,49.0,5047552906031224.0,1.112945721088288e-287
200,0.5,0.3,49.1203,"(49.1203, 49.1203)",5.314431361488921e-29,55.4,-3852347834711258.5,1.8889754967604683e-285
200,0.5,0.4,57.22800000000001,"(57.22800000000001, 57.22800000000001)",5.314431361488921e-29,53.3,2409672802004215.5,1.405423652969419e-281
