K,alpha_word,alpha_ent,mean,ci,variance,paper_result,t_stat,p_value
20,0.2,0.3,52.30041,"(52.20728731405272, 52.39353268594728)",0.03761110990000084,50.2,47.208782794436395,3.6746860797132456e-21
20,0.2,0.4,49.200900000000004,"(46.41787008411199, 51.98392991588802)",33.592390589999994,53.1,-2.932383171288782,0.00854747313446126
20,0.3,0.3,52.50371,"(52.43399601867096, 52.573423981329036)",0.021078753900000465,48.5,120.20345384268816,7.610708630631556e-29
20,0.3,0.4,53.911750000000005,"(50.77105606948637, 57.05244393051364)",42.7815378875,53.3,0.4076829814087842,0.6880634753612079
20,0.4,0.3,53.2694,"(nan, nan)",0.0,53.2,inf,0.0
20,0.4,0.4,49.073899999999995,"(45.03128429354024, 53.11651570645975)",70.88103979000002,56.4,-3.7930153738082106,0.0012292124985724825
20,0.5,0.3,54.643299999999996,"(54.643299999999996, 54.643299999999996)",5.048709793414476e-29,52.5,1314829866735135.2,1.4011642444654438e-276
20,0.5,0.4,47.988350000000004,"(44.720315075236606, 51.2563849247634)",46.321065427499995,56.3,-5.323224439861798,3.88210630229668e-05
50,0.2,0.3,49.98942,"(48.952733137182776, 51.02610686281723)",4.661228057600002,48.9,2.1994898817922675,0.040422652223575245
50,0.2,0.4,50.07949999999999,"(46.02502566881594, 54.133974331184035)",71.29749514999996,49.2,0.45402054754517485,0.6549576624776225
50,0.3,0.3,50.64140999999999,"(49.77876288600181, 51.50405711399818)",3.2275390779000004,52.1,-3.538948784480345,0.0021926082899643195
50,0.3,0.4,52.3537,"(48.840176300283176, 55.86722369971683)",53.541549610000004,50.9,0.8659765318043883,0.3973066765315234
50,0.4,0.3,48.967195,"(47.78839964624567, 50.14599035375432)",6.026733570474999,51.5,-4.497151921444004,0.00024677429711944163
50,0.4,0.4,49.51435,"(46.32457783436852, 52.70412216563148)",44.1290410275,52.6,-2.024702498526663,0.057184258869176816
50,0.5,0.3,50.20696,"(49.13038806717145, 51.28353193282855)",5.026796085400002,56.3,-11.845821812356954,3.222302466644866e-10
50,0.5,0.4,51.0649,"(47.46561529622343, 54.66418470377657)",56.18722238999999,60.6,-5.544766614390918,2.3900184014237758e-05
100,0.2,0.3,49.88609,"(48.26238087992973, 51.50979912007028)",11.4346169819,51.4,-1.9514887285181164,0.06589967519143315
100,0.2,0.4,53.70665,"(50.474918406909445, 56.93838159309056)",45.29765602750002,50.8,1.8824856559105063,0.07517620070783106
100,0.3,0.3,50.373395,"(49.076619608918996, 51.67017039108101)",7.293478086475001,51.5,-1.8183652936619592,0.0848094215055272
100,0.3,0.4,50.17335,"(46.00150567796884, 54.34519432203116)",75.48511992750001,55.3,-2.5720522963589043,0.018664019622540638
100,0.4,0.3,51.58541500000001,"(49.994671256521336, 53.17615874347869)",10.975027305274995,52.2,-0.8086413627285333,0.4287313341169846
100,0.4,0.4,48.137899999999995,"(45.4048341067643, 50.87096589323569)",32.39704259,48.1,0.02902440510431499,0.9771478305225865
100,0.5,0.3,51.91999,"(50.492087520823134, 53.34789247917686)",8.8430535939,50.8,1.641684950395241,0.11710420770384719
100,0.5,0.4,46.9725,"(44.382435507234455, 49.56256449276554)",29.095533049999993,54.9,-6.406191134493695,3.831346468314186e-06
200,0.2,0.3,50.30141,"(49.018447023788525, 51.58437297621147)",7.138934694899996,48.4,3.101957687854926,0.005869451992652237
200,0.2,0.4,50.1685,"(47.31398898210948, 53.023011017890525)",35.34016795,50.6,-0.3163903988517734,0.755155851588093
200,0.3,0.3,51.512665000000005,"(50.5029746959748, 52.52235530402521)",4.421621195274998,49.8,3.550246078280305,0.0021370426646767594
200,0.3,0.4,48.90839999999999,"(45.20262068425336, 52.614179315746625)",59.56131364,51.6,-1.5202156050974271,0.1449239612084863
200,0.4,0.3,51.39358,"(49.59331239297712, 53.19384760702288)",14.056567940600008,50.0,1.620201602452762,0.12166772477653243
200,0.4,0.4,44.801199999999994,"(41.15064398168416, 48.45175601831583)",57.79938215999998,49.0,-2.4073564014787596,0.02639784056917717
200,0.5,0.3,51.28646,"(49.8238327174653, 52.749087282534695)",9.2783874084,55.4,-5.886488151547477,1.1434948491999661e-05
200,0.5,0.4,50.363049999999994,"(46.87883747651737, 53.84726252348262)",52.65194714750002,53.3,-1.7642744106923884,0.09375762910059661
