run,K,alpha_word,alpha_ent,evaluation_result
1,20,0.2,0.30,52.5647
1,20,0.2,0.40,51.5740
1,20,0.3,0.30,52.5647
1,20,0.3,0.40,47.5490
1,20,0.4,0.30,53.2694
1,20,0.4,0.40,38.8660
1,20,0.5,0.30,54.6433
1,20,0.5,0.40,47.0560
1,50,0.2,0.30,52.4781
1,50,0.2,0.40,49.0980
1,50,0.3,0.30,48.1925
1,50,0.3,0.40,54.9340
1,50,0.4,0.30,49.9759
1,50,0.4,0.40,57.2950
1,50,0.5,0.30,51.3678
1,50,0.5,0.40,52.9500
1,100,0.2,0.30,53.2036
1,100,0.2,0.40,47.9670
1,100,0.3,0.30,46.4516
1,100,0.3,0.40,32.3870
1,100,0.4,0.30,54.5156
1,100,0.4,0.40,41.8010
1,100,0.5,0.30,45.5501
1,100,0.5,0.40,49.0440
1,200,0.2,0.30,52.6229
1,200,0.2,0.40,56.3700
1,200,0.3,0.30,49.6805
1,200,0.3,0.40,56.5860
1,200,0.4,0.30,51.9785
1,200,0.4,0.40,44.6790
1,200,0.5,0.30,50.5241
1,200,0.5,0.40,44.3970
2,20,0.2,0.30,52.1581
2,20,0.2,0.40,53.7310
2,20,0.3,0.30,52.5647
2,20,0.3,0.40,49.1100
2,20,0.4,0.30,53.2694
2,20,0.4,0.40,51.2860
2,20,0.5,0.30,54.6433
2,20,0.5,0.40,54.0880
2,50,0.2,0.30,49.2341
2,50,0.2,0.40,48.2860
2,50,0.3,0.30,48.8987
2,50,0.3,0.40,41.8750
2,50,0.4,0.30,49.6601
2,50,0.4,0.40,66.3510
2,50,0.5,0.30,49.2905
2,50,0.5,0.40,48.0020
2,100,0.2,0.30,52.1425
2,100,0.2,0.40,43.9100
2,100,0.3,0.30,50.7279
2,100,0.3,0.40,54.8480
2,100,0.4,0.30,54.6787
2,100,0.4,0.40,44.5900
2,100,0.5,0.30,52.6915
2,100,0.5,0.40,41.3930
2,200,0.2,0.30,43.9331
2,200,0.2,0.40,47.4870
2,200,0.3,0.30,50.1906
2,200,0.3,0.40,42.5020
2,200,0.4,0.30,47.7798
2,200,0.4,0.40,28.4770
2,200,0.5,0.30,54.8004
2,200,0.5,0.40,56.9040
3,20,0.2,0.30,52.5647
3,20,0.2,0.40,50.3950
3,20,0.3,0.30,52.1581
3,20,0.3,0.40,53.4430
3,20,0.4,0.30,53.2694
3,20,0.4,0.40,56.3670
3,20,0.5,0.30,54.6433
3,20,0.5,0.40,54.6490
3,50,0.2,0.30,48.8632
3,50,0.2,0.40,58.7960
3,50,0.3,0.30,46.1243
3,50,0.3,0.40,45.8100
3,50,0.4,0.30,44.4031
3,50,0.4,0.40,50.1650
3,50,0.5,0.30,50.5936
3,50,0.5,0.40,59.3820
3,100,0.2,0.30,46.9167
3,100,0.2,0.40,55.4840
3,100,0.3,0.30,51.1348
3,100,0.3,0.40,50.9230
3,100,0.4,0.30,55.6847
3,100,0.4,0.40,43.8400
3,100,0.5,0.30,56.0464
3,100,0.5,0.40,39.1960
3,200,0.2,0.30,50.3998
3,200,0.2,0.40,63.0740
3,200,0.3,0.30,51.1838
3,200,0.3,0.40,53.7070
3,200,0.4,0.30,51.3105
3,200,0.4,0.40,48.2610
3,200,0.5,0.30,55.6494
3,200,0.5,0.40,53.0720
4,20,0.2,0.30,52.1581
4,20,0.2,0.40,54.9560
4,20,0.3,0.30,52.1581
4,20,0.3,0.40,50.5100
4,20,0.4,0.30,53.2694
4,20,0.4,0.40,58.7150
4,20,0.5,0.30,54.6433
4,20,0.5,0.40,41.1860
4,50,0.2,0.30,50.8724
4,50,0.2,0.40,50.2890
4,50,0.3,0.30,51.2136
4,50,0.3,0.40,56.8320
4,50,0.4,0.30,48.7429
4,50,0.4,0.40,45.0760
4,50,0.5,0.30,50.7171
4,50,0.5,0.40,32.2160
4,100,0.2,0.30,52.6056
4,100,0.2,0.40,57.7070
4,100,0.3,0.30,51.5266
4,100,0.3,0.40,45.4900
4,100,0.4,0.30,48.2385
4,100,0.4,0.40,50.4300
4,100,0.5,0.30,57.9333
4,100,0.5,0.40,35.2950
4,200,0.2,0.30,45.7368
4,200,0.2,0.40,42.4160
4,200,0.3,0.30,52.4567
4,200,0.3,0.40,37.5440
4,200,0.4,0.30,52.2413
4,200,0.4,0.40,49.3130
4,200,0.5,0.30,59.5173
4,200,0.5,0.40,43.5340
5,20,0.2,0.30,52.1581
5,20,0.2,0.40,58.6770
5,20,0.3,0.30,52.5647
5,20,0.3,0.40,64.7370
5,20,0.4,0.30,53.2694
5,20,0.4,0.40,38.3210
5,20,0.5,0.30,54.6433
5,20,0.5,0.40,35.4800
5,50,0.2,0.30,45.9422
5,50,0.2,0.40,42.2260
5,50,0.3,0.30,52.1300
5,50,0.3,0.40,45.9240
5,50,0.4,0.30,50.7124
5,50,0.4,0.40,43.7580
5,50,0.5,0.30,51.6307
5,50,0.5,0.40,57.3290
5,100,0.2,0.30,48.6450
5,100,0.2,0.40,63.5910
5,100,0.3,0.30,49.7020
5,100,0.3,0.40,53.8030
5,100,0.4,0.30,49.9230
5,100,0.4,0.40,43.5360
5,100,0.5,0.30,54.2919
5,100,0.5,0.40,44.8260
5,200,0.2,0.30,50.1650
5,200,0.2,0.40,47.9560
5,200,0.3,0.30,51.8445
5,200,0.3,0.40,42.5690
5,200,0.4,0.30,56.5869
5,200,0.4,0.40,54.3120
5,200,0.5,0.30,53.2472
5,200,0.5,0.40,44.0790
6,20,0.2,0.30,52.5647
6,20,0.2,0.40,42.4150
6,20,0.3,0.30,52.5647
6,20,0.3,0.40,46.7900
6,20,0.4,0.30,53.2694
6,20,0.4,0.40,52.0770
6,20,0.5,0.30,54.6433
6,20,0.5,0.40,38.5950
6,50,0.2,0.30,52.9117
6,50,0.2,0.40,53.8710
6,50,0.3,0.30,48.9678
6,50,0.3,0.40,66.0710
6,50,0.4,0.30,47.6723
6,50,0.4,0.40,43.3700
6,50,0.5,0.30,49.9555
6,50,0.5,0.40,62.6380
6,100,0.2,0.30,55.8701
6,100,0.2,0.40,45.2840
6,100,0.3,0.30,47.7070
6,100,0.3,0.40,41.0990
6,100,0.4,0.30,53.2278
6,100,0.4,0.40,36.6020
6,100,0.5,0.30,48.4655
6,100,0.5,0.40,45.2720
6,200,0.2,0.30,52.4449
6,200,0.2,0.40,49.3220
6,200,0.3,0.30,51.4588
6,200,0.3,0.40,46.7620
6,200,0.4,0.30,58.3222
6,200,0.4,0.40,49.9030
6,200,0.5,0.30,47.3699
6,200,0.5,0.40,53.2110
7,20,0.2,0.30,52.1581
7,20,0.2,0.40,52.4620
7,20,0.3,0.30,52.5647
7,20,0.3,0.40,52.9930
7,20,0.4,0.30,53.2694
7,20,0.4,0.40,57.4890
7,20,0.5,0.30,54.6433
7,20,0.5,0.40,40.0020
7,50,0.2,0.30,49.3344
7,50,0.2,0.40,60.8060
7,50,0.3,0.30,51.3801
7,50,0.3,0.40,43.9660
7,50,0.4,0.30,44.1580
7,50,0.4,0.40,45.4170
7,50,0.5,0.30,48.1665
7,50,0.5,0.40,47.6120
