K,alpha_word,alpha_ent,mean,ci,variance,paper_result,t_stat,p_value
20,0.2,0.3,53.34590000000001,"(53.34590000000001, 53.34590000000001)",5.048709793414476e-29,49.3,2481999793693699.5,8.012676669866574e-282
20,0.2,0.4,42.472350000000006,"(38.98282967553987, 45.96187032446014)",52.8124878275,47.2,-2.835657698126199,0.010568582655213443
20,0.3,0.3,53.34590000000001,"(53.34590000000001, 53.34590000000001)",5.048709793414476e-29,50.3,1868539304385092.5,1.7638765412657892e-279
20,0.3,0.4,44.129599999999996,"(40.47464945091486, 47.78455054908513)",57.93862344,52.5,-4.793347628028568,0.00012634318951618522
20,0.4,0.3,53.7866,"(nan, nan)",0.0,52.8,inf,0.0
20,0.4,0.4,43.24285,"(40.350788148753985, 46.13491185124601)",36.27607702749999,52.4,-6.627152601029985,2.4326120421811436e-06
20,0.5,0.3,51.55319999999999,"(51.55319999999999, 51.55319999999999)",5.048709793414476e-29,50.6,584750538408957.0,6.8009365287017816e-270
20,0.5,0.4,44.859500000000004,"(41.09832044730123, 48.62067955269878)",61.35547105000003,50.5,-3.1388297244195096,0.005405813722900193
50,0.2,0.3,49.834554999999995,"(49.307975194068455, 50.361134805931535)",1.202634233474999,43.3,25.973234533099287,2.629492631176449e-16
50,0.2,0.4,40.7667,"(38.39450789926407, 43.13889210073593)",24.406464510000003,49.5,-7.705534036932748,2.9120065735409663e-07
50,0.3,0.3,50.19708,"(49.6129247697184, 50.7812352302816)",1.4799999505999994,52.5,-8.251346055832215,1.055359599224354e-07
50,0.3,0.4,45.11965,"(42.14998613182958, 48.08931386817042)",38.2489706275,49.5,-3.0872779963395844,0.00606460893541346
50,0.4,0.3,52.0013,"(51.31235741822444, 52.690242581775564)",2.0585964440000017,50.1,5.77619491074342,1.448474531733799e-05
50,0.4,0.4,46.039,"(42.80444299786958, 49.273557002130424)",45.376895499999996,51.9,-3.792548399922179,0.001230523242379433
50,0.5,0.3,52.595045000000006,"(51.77783753396638, 53.412252466033635)",2.896475192474999,46.5,15.610571767801085,2.722710899788504e-12
50,0.5,0.4,42.81855,"(39.88450389984011, 45.75259610015989)",37.336966347499995,52.0,-6.549657042982216,2.850635471513587e-06
100,0.2,0.3,49.82353,"(48.47189991190635, 51.17516008809365)",7.923569353100001,49.5,0.500992156276846,0.6221311213361981
100,0.2,0.4,41.49929999999999,"(38.83398558705204, 44.16461441294794)",30.810734909999997,50.7,-7.225146243101123,7.352584597723296e-07
100,0.3,0.3,49.65988,"(48.26697309277545, 51.05278690722455)",8.414907488599999,49.0,0.9915556494546648,0.33387496760683144
100,0.3,0.4,43.367549999999994,"(40.201803227148446, 46.53329677285154)",43.466783847500004,49.2,-3.856106954232986,0.0010643253168971124
100,0.4,0.3,49.83936,"(48.879538680304954, 50.799181319695045)",3.9956362673999983,50.6,-1.658681448387636,0.11359738932192957
100,0.4,0.4,44.30225,"(40.93987783380152, 47.664622166198484)",49.033932587500004,49.9,-3.48451177366552,0.002481014711759246
100,0.5,0.3,51.07196,"(49.95576546784076, 52.18815453215923)",5.403621777400001,46.7,8.198048979158859,1.1633019805316803e-07
100,0.5,0.4,44.5886,"(41.40382573066947, 47.77337426933053)",43.99086214000001,48.7,-2.701999692776667,0.01412819801005615
200,0.2,0.3,50.073564999999995,"(49.098459491940545, 51.048670508059445)",4.123902426274996,47.0,6.597281447614492,2.585696709301298e-06
200,0.2,0.4,44.2243,"(40.605302150618755, 47.843297849381244)",56.804378410000005,51.3,-4.092185438659103,0.0006207242398996699
200,0.3,0.3,50.781400000000005,"(50.018659757784015, 51.544140242215995)",2.5232395459999983,48.2,7.083581008329063,9.717614663058508e-07
200,0.3,0.4,44.3759,"(40.83201369614525, 47.91978630385475)",54.47092148999999,49.8,-3.2034808117763918,0.004677543782466936
200,0.4,0.3,50.117414999999994,"(48.85557804100466, 51.379251958995326)",6.905762674275005,51.1,-1.6298254904010636,0.11960514556151924
200,0.4,0.4,43.78955,"(40.94843817361453, 46.63066182638547)",35.00917024750001,47.4,-2.659789251186286,0.015472257175866184
200,0.5,0.3,49.658660000000005,"(48.857460126153235, 50.459859873846774)",2.7841133083999954,49.0,1.7206583134587565,0.10155789962943733
200,0.5,0.4,44.50595,"(41.34390216072934, 47.667997839270654)",43.3652679475,46.1,-1.0551342558748429,0.3045969684969708
