run,K,alpha_word,alpha_ent,evaluation_result
1,20,0.2,0.30,52.564699999999995
1,20,0.2,0.40,57.228
1,20,0.3,0.30,52.564699999999995
1,20,0.3,0.40,57.228
1,20,0.4,0.30,53.2694
1,20,0.4,0.40,57.228
1,20,0.5,0.30,54.6433
1,20,0.5,0.40,57.228
1,50,0.2,0.30,47.664899999999996
1,50,0.2,0.40,57.228
1,50,0.3,0.30,48.4593
1,50,0.3,0.40,57.228
1,50,0.4,0.30,45.149899999999995
1,50,0.4,0.40,57.228
1,50,0.5,0.30,46.2488
1,50,0.5,0.40,57.228
1,100,0.2,0.30,41.9402
1,100,0.2,0.40,57.228
1,100,0.3,0.30,41.9402
1,100,0.3,0.40,57.228
1,100,0.4,0.30,42.2714
1,100,0.4,0.40,57.228
1,100,0.5,0.30,47.717099999999995
1,100,0.5,0.40,57.228
1,200,0.2,0.30,50.6575
1,200,0.2,0.40,57.228
1,200,0.3,0.30,50.434200000000004
1,200,0.3,0.40,57.228
1,200,0.4,0.30,51.7744
1,200,0.4,0.40,57.228
1,200,0.5,0.30,49.12029999999999
1,200,0.5,0.40,57.228
2,20,0.2,0.30,52.564699999999995
2,20,0.2,0.40,57.228
2,20,0.3,0.30,52.564699999999995
2,20,0.3,0.40,57.228
2,20,0.4,0.30,53.2694
2,20,0.4,0.40,57.228
2,20,0.5,0.30,54.6433
2,20,0.5,0.40,57.228
2,50,0.2,0.30,47.664899999999996
2,50,0.2,0.40,57.228
2,50,0.3,0.30,48.4593
2,50,0.3,0.40,57.228
2,50,0.4,0.30,45.149899999999995
2,50,0.4,0.40,57.228
2,50,0.5,0.30,46.2488
2,50,0.5,0.40,57.228
2,100,0.2,0.30,41.9402
2,100,0.2,0.40,57.228
2,100,0.3,0.30,41.9402
2,100,0.3,0.40,57.228
2,100,0.4,0.30,42.2714
2,100,0.4,0.40,57.228
2,100,0.5,0.30,47.717099999999995
2,100,0.5,0.40,57.228
2,200,0.2,0.30,50.6575
2,200,0.2,0.40,57.228
2,200,0.3,0.30,50.434200000000004
2,200,0.3,0.40,57.228
2,200,0.4,0.30,51.7744
2,200,0.4,0.40,57.228
2,200,0.5,0.30,49.12029999999999
2,200,0.5,0.40,57.228
3,20,0.2,0.30,52.564699999999995
3,20,0.2,0.40,57.228
3,20,0.3,0.30,52.564699999999995
3,20,0.3,0.40,57.228
3,20,0.4,0.30,53.2694
3,20,0.4,0.40,57.228
3,20,0.5,0.30,54.6433
3,20,0.5,0.40,57.228
3,50,0.2,0.30,47.664899999999996
3,50,0.2,0.40,57.228
3,50,0.3,0.30,48.4593
3,50,0.3,0.40,57.228
3,50,0.4,0.30,45.149899999999995
3,50,0.4,0.40,57.228
3,50,0.5,0.30,46.2488
3,50,0.5,0.40,57.228
3,100,0.2,0.30,41.9402
3,100,0.2,0.40,57.228
3,100,0.3,0.30,41.9402
3,100,0.3,0.40,57.228
3,100,0.4,0.30,42.2714
3,100,0.4,0.40,57.228
3,100,0.5,0.30,47.717099999999995
3,100,0.5,0.40,57.228
3,200,0.2,0.30,50.6575
3,200,0.2,0.40,57.228
3,200,0.3,0.30,50.434200000000004
3,200,0.3,0.40,57.228
3,200,0.4,0.30,51.7744
3,200,0.4,0.40,57.228
3,200,0.5,0.30,49.12029999999999
3,200,0.5,0.40,57.228
